nthreads: 1, Total Count: 7, usecs: 5388
nthreads: 2, Total Count: 7, usecs: 4962
nthreads: 3, Total Count: 7, usecs: 3609
nthreads: 4, Total Count: 7, usecs: 3949
nthreads: 5, Total Count: 7, usecs: 2331
nthreads: 6, Total Count: 7, usecs: 5129
nthreads: 7, Total Count: 7, usecs: 2448
nthreads: 8, Total Count: 7, usecs: 2513
nthreads: 9, Total Count: 7, usecs: 2605
nthreads: 10, Total Count: 7, usecs: 2565
nthreads: 11, Total Count: 7, usecs: 2464
nthreads: 12, Total Count: 7, usecs: 3315
nthreads: 13, Total Count: 7, usecs: 2226
nthreads: 14, Total Count: 7, usecs: 3021
nthreads: 15, Total Count: 7, usecs: 2094
nthreads: 16, Total Count: 7, usecs: 3232
nthreads: 17, Total Count: 7, usecs: 2815
nthreads: 18, Total Count: 7, usecs: 2383
nthreads: 19, Total Count: 7, usecs: 2586
nthreads: 20, Total Count: 7, usecs: 2842
nthreads: 21, Total Count: 7, usecs: 2943
nthreads: 22, Total Count: 7, usecs: 3490
nthreads: 23, Total Count: 7, usecs: 3905
nthreads: 24, Total Count: 7, usecs: 3656
nthreads: 25, Total Count: 7, usecs: 3686
nthreads: 26, Total Count: 7, usecs: 3794
nthreads: 27, Total Count: 7, usecs: 2890
nthreads: 28, Total Count: 7, usecs: 4374
nthreads: 29, Total Count: 7, usecs: 3899
nthreads: 30, Total Count: 7, usecs: 3996
nthreads: 31, Total Count: 7, usecs: 4437
nthreads: 32, Total Count: 7, usecs: 4889
nthreads: 33, Total Count: 7, usecs: 4360
nthreads: 34, Total Count: 7, usecs: 6064
nthreads: 35, Total Count: 7, usecs: 4584
nthreads: 36, Total Count: 7, usecs: 4972
nthreads: 37, Total Count: 7, usecs: 4763
nthreads: 38, Total Count: 7, usecs: 5325
nthreads: 39, Total Count: 7, usecs: 5471
nthreads: 40, Total Count: 7, usecs: 4894
nthreads: 41, Total Count: 7, usecs: 5064
nthreads: 42, Total Count: 7, usecs: 5018
nthreads: 43, Total Count: 7, usecs: 5071
nthreads: 44, Total Count: 7, usecs: 5724
nthreads: 45, Total Count: 7, usecs: 4944
nthreads: 46, Total Count: 7, usecs: 5378
nthreads: 47, Total Count: 7, usecs: 4686
nthreads: 48, Total Count: 7, usecs: 4206
nthreads: 49, Total Count: 7, usecs: 5077
nthreads: 50, Total Count: 7, usecs: 3686
nthreads: 51, Total Count: 7, usecs: 3917
nthreads: 52, Total Count: 7, usecs: 4205
nthreads: 53, Total Count: 7, usecs: 4077
nthreads: 54, Total Count: 7, usecs: 4364
nthreads: 55, Total Count: 7, usecs: 4482
nthreads: 56, Total Count: 7, usecs: 4731
nthreads: 57, Total Count: 7, usecs: 4833
nthreads: 58, Total Count: 7, usecs: 5412
nthreads: 59, Total Count: 7, usecs: 5152
nthreads: 60, Total Count: 7, usecs: 4529
nthreads: 61, Total Count: 7, usecs: 4501
nthreads: 62, Total Count: 7, usecs: 4948
nthreads: 63, Total Count: 7, usecs: 4918
nthreads: 64, Total Count: 7, usecs: 4833
nthreads: 65, Total Count: 7, usecs: 4891
nthreads: 66, Total Count: 7, usecs: 5024
nthreads: 67, Total Count: 7, usecs: 5220
nthreads: 68, Total Count: 7, usecs: 5075
nthreads: 69, Total Count: 7, usecs: 4880
nthreads: 70, Total Count: 7, usecs: 5208
nthreads: 71, Total Count: 7, usecs: 5568
nthreads: 72, Total Count: 7, usecs: 5339
nthreads: 73, Total Count: 7, usecs: 5895
nthreads: 74, Total Count: 7, usecs: 5357
nthreads: 75, Total Count: 7, usecs: 5668
nthreads: 76, Total Count: 7, usecs: 5760
nthreads: 77, Total Count: 7, usecs: 5803
nthreads: 78, Total Count: 7, usecs: 5405
nthreads: 79, Total Count: 7, usecs: 5584
nthreads: 80, Total Count: 7, usecs: 6136
nthreads: 81, Total Count: 7, usecs: 5864
nthreads: 82, Total Count: 7, usecs: 5823
nthreads: 83, Total Count: 7, usecs: 5887
nthreads: 84, Total Count: 7, usecs: 5748
nthreads: 85, Total Count: 7, usecs: 6255
nthreads: 86, Total Count: 7, usecs: 6062
nthreads: 87, Total Count: 7, usecs: 5623
nthreads: 88, Total Count: 7, usecs: 6099
nthreads: 89, Total Count: 7, usecs: 6056
nthreads: 90, Total Count: 7, usecs: 5520
nthreads: 91, Total Count: 7, usecs: 6106
nthreads: 92, Total Count: 7, usecs: 6169
nthreads: 93, Total Count: 7, usecs: 6033
nthreads: 94, Total Count: 7, usecs: 5734
nthreads: 95, Total Count: 7, usecs: 5801
nthreads: 96, Total Count: 7, usecs: 5755
nthreads: 97, Total Count: 7, usecs: 5566
nthreads: 98, Total Count: 7, usecs: 6477
nthreads: 99, Total Count: 7, usecs: 6128
nthreads: 100, Total Count: 7, usecs: 5504
