nthreads: 1, Total Count: 156, usecs: 5407
nthreads: 2, Total Count: 156, usecs: 3620
nthreads: 3, Total Count: 156, usecs: 4114
nthreads: 4, Total Count: 156, usecs: 2704
nthreads: 5, Total Count: 156, usecs: 2607
nthreads: 6, Total Count: 156, usecs: 2194
nthreads: 7, Total Count: 156, usecs: 3020
nthreads: 8, Total Count: 156, usecs: 2817
nthreads: 9, Total Count: 156, usecs: 2435
nthreads: 10, Total Count: 156, usecs: 2904
nthreads: 11, Total Count: 156, usecs: 2583
nthreads: 12, Total Count: 156, usecs: 2926
nthreads: 13, Total Count: 156, usecs: 3756
nthreads: 14, Total Count: 156, usecs: 2566
nthreads: 15, Total Count: 156, usecs: 2051
nthreads: 16, Total Count: 156, usecs: 2695
nthreads: 17, Total Count: 156, usecs: 2784
nthreads: 18, Total Count: 156, usecs: 2695
nthreads: 19, Total Count: 156, usecs: 3065
nthreads: 20, Total Count: 156, usecs: 3635
nthreads: 21, Total Count: 156, usecs: 3316
nthreads: 22, Total Count: 156, usecs: 2974
nthreads: 23, Total Count: 156, usecs: 4065
nthreads: 24, Total Count: 156, usecs: 3727
nthreads: 25, Total Count: 156, usecs: 3881
nthreads: 26, Total Count: 156, usecs: 3297
nthreads: 27, Total Count: 156, usecs: 3599
nthreads: 28, Total Count: 156, usecs: 3856
nthreads: 29, Total Count: 156, usecs: 3550
nthreads: 30, Total Count: 156, usecs: 4155
nthreads: 31, Total Count: 156, usecs: 4926
nthreads: 32, Total Count: 156, usecs: 4068
nthreads: 33, Total Count: 156, usecs: 4384
nthreads: 34, Total Count: 156, usecs: 4685
nthreads: 35, Total Count: 156, usecs: 4826
nthreads: 36, Total Count: 156, usecs: 4947
nthreads: 37, Total Count: 156, usecs: 5121
nthreads: 38, Total Count: 156, usecs: 4277
nthreads: 39, Total Count: 156, usecs: 4838
nthreads: 40, Total Count: 156, usecs: 4953
nthreads: 41, Total Count: 156, usecs: 5026
nthreads: 42, Total Count: 156, usecs: 4248
nthreads: 43, Total Count: 156, usecs: 4823
nthreads: 44, Total Count: 156, usecs: 4945
nthreads: 45, Total Count: 156, usecs: 4470
nthreads: 46, Total Count: 156, usecs: 5056
nthreads: 47, Total Count: 156, usecs: 5393
nthreads: 48, Total Count: 156, usecs: 5227
nthreads: 49, Total Count: 156, usecs: 4647
nthreads: 50, Total Count: 156, usecs: 4109
nthreads: 51, Total Count: 156, usecs: 5190
nthreads: 52, Total Count: 156, usecs: 4515
nthreads: 53, Total Count: 156, usecs: 5102
nthreads: 54, Total Count: 156, usecs: 4477
nthreads: 55, Total Count: 156, usecs: 4596
nthreads: 56, Total Count: 156, usecs: 4953
nthreads: 57, Total Count: 156, usecs: 4213
nthreads: 58, Total Count: 156, usecs: 4813
nthreads: 59, Total Count: 156, usecs: 4525
nthreads: 60, Total Count: 156, usecs: 4898
nthreads: 61, Total Count: 156, usecs: 5077
nthreads: 62, Total Count: 156, usecs: 4964
nthreads: 63, Total Count: 156, usecs: 4769
nthreads: 64, Total Count: 156, usecs: 5008
nthreads: 65, Total Count: 156, usecs: 5342
nthreads: 66, Total Count: 156, usecs: 5099
nthreads: 67, Total Count: 156, usecs: 5603
nthreads: 68, Total Count: 156, usecs: 5624
nthreads: 69, Total Count: 156, usecs: 5483
nthreads: 70, Total Count: 156, usecs: 5765
nthreads: 71, Total Count: 156, usecs: 5631
nthreads: 72, Total Count: 156, usecs: 5782
nthreads: 73, Total Count: 156, usecs: 5706
nthreads: 74, Total Count: 156, usecs: 6025
nthreads: 75, Total Count: 156, usecs: 6473
nthreads: 76, Total Count: 156, usecs: 6133
nthreads: 77, Total Count: 156, usecs: 5284
nthreads: 78, Total Count: 156, usecs: 5957
nthreads: 79, Total Count: 156, usecs: 5707
nthreads: 80, Total Count: 156, usecs: 6029
nthreads: 81, Total Count: 156, usecs: 6291
nthreads: 82, Total Count: 156, usecs: 6260
nthreads: 83, Total Count: 156, usecs: 5988
nthreads: 84, Total Count: 156, usecs: 6347
nthreads: 85, Total Count: 156, usecs: 5672
nthreads: 86, Total Count: 156, usecs: 7690
nthreads: 87, Total Count: 156, usecs: 6236
nthreads: 88, Total Count: 156, usecs: 5573
nthreads: 89, Total Count: 156, usecs: 5220
nthreads: 90, Total Count: 156, usecs: 6066
nthreads: 91, Total Count: 156, usecs: 6160
nthreads: 92, Total Count: 156, usecs: 6139
nthreads: 93, Total Count: 156, usecs: 5883
nthreads: 94, Total Count: 156, usecs: 5833
nthreads: 95, Total Count: 156, usecs: 6342
nthreads: 96, Total Count: 156, usecs: 6214
nthreads: 97, Total Count: 156, usecs: 5956
nthreads: 98, Total Count: 156, usecs: 6108
nthreads: 99, Total Count: 156, usecs: 6229
nthreads: 100, Total Count: 156, usecs: 6112
