nthreads: 1, Total Count: 294, usecs: 6963
nthreads: 2, Total Count: 294, usecs: 5822
nthreads: 3, Total Count: 294, usecs: 4150
nthreads: 4, Total Count: 294, usecs: 3392
nthreads: 5, Total Count: 294, usecs: 3236
nthreads: 6, Total Count: 294, usecs: 3839
nthreads: 7, Total Count: 294, usecs: 3051
nthreads: 8, Total Count: 294, usecs: 3641
nthreads: 9, Total Count: 294, usecs: 3004
nthreads: 10, Total Count: 294, usecs: 3148
nthreads: 11, Total Count: 294, usecs: 3249
nthreads: 12, Total Count: 294, usecs: 3583
nthreads: 13, Total Count: 294, usecs: 3634
nthreads: 14, Total Count: 294, usecs: 3480
nthreads: 15, Total Count: 294, usecs: 3437
nthreads: 16, Total Count: 294, usecs: 4016
nthreads: 17, Total Count: 294, usecs: 4352
nthreads: 18, Total Count: 294, usecs: 2613
nthreads: 19, Total Count: 294, usecs: 4255
nthreads: 20, Total Count: 294, usecs: 4316
nthreads: 21, Total Count: 294, usecs: 3493
nthreads: 22, Total Count: 294, usecs: 3213
nthreads: 23, Total Count: 294, usecs: 3239
nthreads: 24, Total Count: 294, usecs: 3874
nthreads: 25, Total Count: 294, usecs: 3898
nthreads: 26, Total Count: 294, usecs: 4722
nthreads: 27, Total Count: 294, usecs: 4761
nthreads: 28, Total Count: 294, usecs: 4562
nthreads: 29, Total Count: 294, usecs: 4871
nthreads: 30, Total Count: 294, usecs: 5383
nthreads: 31, Total Count: 294, usecs: 5627
nthreads: 32, Total Count: 294, usecs: 5360
nthreads: 33, Total Count: 294, usecs: 4306
nthreads: 34, Total Count: 294, usecs: 5035
nthreads: 35, Total Count: 294, usecs: 4564
nthreads: 36, Total Count: 294, usecs: 5029
nthreads: 37, Total Count: 294, usecs: 5087
nthreads: 38, Total Count: 294, usecs: 5314
nthreads: 39, Total Count: 294, usecs: 5626
nthreads: 40, Total Count: 294, usecs: 5523
nthreads: 41, Total Count: 294, usecs: 5872
nthreads: 42, Total Count: 294, usecs: 5892
nthreads: 43, Total Count: 294, usecs: 6049
nthreads: 44, Total Count: 294, usecs: 6216
nthreads: 45, Total Count: 294, usecs: 5734
nthreads: 46, Total Count: 294, usecs: 6547
nthreads: 47, Total Count: 294, usecs: 6041
nthreads: 48, Total Count: 294, usecs: 6380
nthreads: 49, Total Count: 294, usecs: 6213
nthreads: 50, Total Count: 294, usecs: 6677
nthreads: 51, Total Count: 294, usecs: 6045
nthreads: 52, Total Count: 294, usecs: 6433
nthreads: 53, Total Count: 294, usecs: 6556
nthreads: 54, Total Count: 294, usecs: 6416
nthreads: 55, Total Count: 294, usecs: 6956
nthreads: 56, Total Count: 294, usecs: 6090
nthreads: 57, Total Count: 294, usecs: 5872
nthreads: 58, Total Count: 294, usecs: 5825
nthreads: 59, Total Count: 294, usecs: 6317
nthreads: 60, Total Count: 294, usecs: 6508
nthreads: 61, Total Count: 294, usecs: 5356
nthreads: 62, Total Count: 294, usecs: 6150
nthreads: 63, Total Count: 294, usecs: 5389
nthreads: 64, Total Count: 294, usecs: 5555
nthreads: 65, Total Count: 294, usecs: 5450
nthreads: 66, Total Count: 294, usecs: 5741
nthreads: 67, Total Count: 294, usecs: 5191
nthreads: 68, Total Count: 294, usecs: 6808
nthreads: 69, Total Count: 294, usecs: 7292
nthreads: 70, Total Count: 294, usecs: 5915
nthreads: 71, Total Count: 294, usecs: 6030
nthreads: 72, Total Count: 294, usecs: 6135
nthreads: 73, Total Count: 294, usecs: 5837
nthreads: 74, Total Count: 294, usecs: 6261
nthreads: 75, Total Count: 294, usecs: 5728
nthreads: 76, Total Count: 294, usecs: 5760
nthreads: 77, Total Count: 294, usecs: 6366
nthreads: 78, Total Count: 294, usecs: 5972
nthreads: 79, Total Count: 294, usecs: 6649
nthreads: 80, Total Count: 294, usecs: 6173
nthreads: 81, Total Count: 294, usecs: 6249
nthreads: 82, Total Count: 294, usecs: 6128
nthreads: 83, Total Count: 294, usecs: 6746
nthreads: 84, Total Count: 294, usecs: 6126
nthreads: 85, Total Count: 294, usecs: 7222
nthreads: 86, Total Count: 294, usecs: 6458
nthreads: 87, Total Count: 294, usecs: 6709
nthreads: 88, Total Count: 294, usecs: 6458
nthreads: 89, Total Count: 294, usecs: 6779
nthreads: 90, Total Count: 294, usecs: 6670
nthreads: 91, Total Count: 294, usecs: 7153
nthreads: 92, Total Count: 294, usecs: 6915
nthreads: 93, Total Count: 294, usecs: 7086
nthreads: 94, Total Count: 294, usecs: 7172
nthreads: 95, Total Count: 294, usecs: 7113
nthreads: 96, Total Count: 294, usecs: 10020
nthreads: 97, Total Count: 294, usecs: 7325
nthreads: 98, Total Count: 294, usecs: 7129
nthreads: 99, Total Count: 294, usecs: 7595
nthreads: 100, Total Count: 294, usecs: 7409
