nthreads: 1, Total Count: 32656, usecs: 7341
nthreads: 2, Total Count: 32656, usecs: 5057
nthreads: 3, Total Count: 32656, usecs: 3412
nthreads: 4, Total Count: 32656, usecs: 2748
nthreads: 5, Total Count: 32656, usecs: 3858
nthreads: 6, Total Count: 32656, usecs: 3703
nthreads: 7, Total Count: 32656, usecs: 3073
nthreads: 8, Total Count: 32656, usecs: 2556
nthreads: 9, Total Count: 32656, usecs: 3636
nthreads: 10, Total Count: 32656, usecs: 4039
nthreads: 11, Total Count: 32656, usecs: 3832
nthreads: 12, Total Count: 32656, usecs: 3861
nthreads: 13, Total Count: 32656, usecs: 2760
nthreads: 14, Total Count: 32656, usecs: 2427
nthreads: 15, Total Count: 32656, usecs: 3092
nthreads: 16, Total Count: 32656, usecs: 4029
nthreads: 17, Total Count: 32656, usecs: 2783
nthreads: 18, Total Count: 32656, usecs: 3018
nthreads: 19, Total Count: 32656, usecs: 3392
nthreads: 20, Total Count: 32656, usecs: 3451
nthreads: 21, Total Count: 32656, usecs: 3728
nthreads: 22, Total Count: 32656, usecs: 3975
nthreads: 23, Total Count: 32656, usecs: 4115
nthreads: 24, Total Count: 32656, usecs: 4072
nthreads: 25, Total Count: 32656, usecs: 3560
nthreads: 26, Total Count: 32656, usecs: 3817
nthreads: 27, Total Count: 32656, usecs: 3677
nthreads: 28, Total Count: 32656, usecs: 3961
nthreads: 29, Total Count: 32656, usecs: 4823
nthreads: 30, Total Count: 32656, usecs: 4251
nthreads: 31, Total Count: 32656, usecs: 4915
nthreads: 32, Total Count: 32656, usecs: 4632
nthreads: 33, Total Count: 32656, usecs: 4673
nthreads: 34, Total Count: 32656, usecs: 4890
nthreads: 35, Total Count: 32656, usecs: 4576
nthreads: 36, Total Count: 32656, usecs: 5080
nthreads: 37, Total Count: 32656, usecs: 4917
nthreads: 38, Total Count: 32656, usecs: 5417
nthreads: 39, Total Count: 32656, usecs: 5725
nthreads: 40, Total Count: 32656, usecs: 5525
nthreads: 41, Total Count: 32656, usecs: 6736
nthreads: 42, Total Count: 32656, usecs: 5812
nthreads: 43, Total Count: 32656, usecs: 6019
nthreads: 44, Total Count: 32656, usecs: 5986
nthreads: 45, Total Count: 32656, usecs: 5831
nthreads: 46, Total Count: 32656, usecs: 6172
nthreads: 47, Total Count: 32656, usecs: 6656
nthreads: 48, Total Count: 32656, usecs: 6838
nthreads: 49, Total Count: 32656, usecs: 6582
nthreads: 50, Total Count: 32656, usecs: 7109
nthreads: 51, Total Count: 32656, usecs: 7037
nthreads: 52, Total Count: 32656, usecs: 6088
nthreads: 53, Total Count: 32656, usecs: 7136
nthreads: 54, Total Count: 32656, usecs: 5744
nthreads: 55, Total Count: 32656, usecs: 5518
nthreads: 56, Total Count: 32656, usecs: 6426
nthreads: 57, Total Count: 32656, usecs: 6703
nthreads: 58, Total Count: 32656, usecs: 6628
nthreads: 59, Total Count: 32656, usecs: 5481
nthreads: 60, Total Count: 32656, usecs: 6668
nthreads: 61, Total Count: 32656, usecs: 6879
nthreads: 62, Total Count: 32656, usecs: 6457
nthreads: 63, Total Count: 32656, usecs: 6715
nthreads: 64, Total Count: 32656, usecs: 5880
nthreads: 65, Total Count: 32656, usecs: 5480
nthreads: 66, Total Count: 32656, usecs: 6331
nthreads: 67, Total Count: 32656, usecs: 6748
nthreads: 68, Total Count: 32656, usecs: 5935
nthreads: 69, Total Count: 32656, usecs: 6247
nthreads: 70, Total Count: 32656, usecs: 6227
nthreads: 71, Total Count: 32656, usecs: 7235
nthreads: 72, Total Count: 32656, usecs: 6792
nthreads: 73, Total Count: 32656, usecs: 6755
nthreads: 74, Total Count: 32656, usecs: 6582
nthreads: 75, Total Count: 32656, usecs: 7471
nthreads: 76, Total Count: 32656, usecs: 7352
nthreads: 77, Total Count: 32656, usecs: 7029
nthreads: 78, Total Count: 32656, usecs: 7559
nthreads: 79, Total Count: 32656, usecs: 6863
nthreads: 80, Total Count: 32656, usecs: 6586
nthreads: 81, Total Count: 32656, usecs: 6773
nthreads: 82, Total Count: 32656, usecs: 7709
nthreads: 83, Total Count: 32656, usecs: 6350
nthreads: 84, Total Count: 32656, usecs: 6225
nthreads: 85, Total Count: 32656, usecs: 6247
nthreads: 86, Total Count: 32656, usecs: 7209
nthreads: 87, Total Count: 32656, usecs: 6803
nthreads: 88, Total Count: 32656, usecs: 6666
nthreads: 89, Total Count: 32656, usecs: 6879
nthreads: 90, Total Count: 32656, usecs: 6699
nthreads: 91, Total Count: 32656, usecs: 6725
nthreads: 92, Total Count: 32656, usecs: 7062
nthreads: 93, Total Count: 32656, usecs: 7275
nthreads: 94, Total Count: 32656, usecs: 7209
nthreads: 95, Total Count: 32656, usecs: 7239
nthreads: 96, Total Count: 32656, usecs: 6950
nthreads: 97, Total Count: 32656, usecs: 7523
nthreads: 98, Total Count: 32656, usecs: 7606
nthreads: 99, Total Count: 32656, usecs: 7704
nthreads: 100, Total Count: 32656, usecs: 7373
